# dimension_row_order | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,drvi_order,vanished
DR 32,31,False
DR 3,2,False
DR 62,61,True
DR 23,22,False
DR 25,24,False
DR 10,9,False
DR 38,37,False
DR 64,63,True
DR 60,59,True
DR 56,55,True
DR 48,47,False
DR 20,19,False
DR 21,20,False
DR 45,44,False
DR 51,50,False
DR 6,5,False
DR 63,62,False
DR 5,4,False
DR 29,28,False
DR 14,13,False
DR 2,1,False
DR 4,3,False
DR 40,39,False
DR 11,10,False
DR 57,56,True
DR 27,26,False
DR 42,41,False
DR 41,40,False
DR 24,23,False
DR 36,35,False
DR 44,43,False
DR 26,25,False
DR 49,48,False
DR 47,46,False
DR 54,53,True
DR 31,30,False
DR 37,36,False
DR 43,42,False
DR 8,7,False
DR 22,21,False
DR 46,45,False
DR 17,16,False
DR 19,18,False
DR 52,51,True
DR 28,27,False
DR 12,11,False
DR 30,29,False
DR 16,15,False
DR 13,12,False
DR 18,17,False
DR 61,60,True
DR 33,32,False
DR 55,54,True
DR 59,58,True
DR 53,52,True
DR 50,49,False
DR 1,0,False
DR 9,8,False
DR 34,33,False
DR 15,14,False
DR 58,57,True
DR 35,34,False
DR 7,6,False
DR 39,38,False
