# signature_gene_contribution | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP10_PROTEIN_MATURATION,proteostasis,HLA-C,0.737013,1.67926,0.058388,0.057096,,1
MP10_PROTEIN_MATURATION,proteostasis,HLA-A,0.591838,1.193077,0.041483,0.052675,,2
MP10_PROTEIN_MATURATION,proteostasis,PPIB,0.730686,1.411715,0.049085,0.044037,,3
MP10_PROTEIN_MATURATION,proteostasis,MALAT1,0.82742,2.868261,0.099729,0.043131,,4
MP10_PROTEIN_MATURATION,proteostasis,ITM2B,0.670222,1.187701,0.041296,0.037859,,5
MP10_PROTEIN_MATURATION,proteostasis,TMEM59,0.625153,0.959365,0.033357,0.034308,,6
MP10_PROTEIN_MATURATION,proteostasis,HSPA5,0.522078,0.75556,0.026271,0.034012,,7
MP10_PROTEIN_MATURATION,proteostasis,HSP90B1,0.606843,0.923629,0.032115,0.033098,,8
MP10_PROTEIN_MATURATION,proteostasis,PDIA6,0.560565,0.830637,0.028881,0.033082,,9
MP10_PROTEIN_MATURATION,proteostasis,PDIA3,0.526712,0.722927,0.025136,0.032154,,10
MP10_PROTEIN_MATURATION,proteostasis,CLU,0.547198,0.979078,0.034043,0.031071,,11
MP10_PROTEIN_MATURATION,proteostasis,TIMP1,0.487688,0.785651,0.027317,0.03062,,12
MP10_PROTEIN_MATURATION,proteostasis,LAPTM4A,0.640333,1.01163,0.035174,0.02966,,13
MP10_PROTEIN_MATURATION,proteostasis,LGALS3BP,0.339275,0.425776,0.014804,0.028431,,14
MP10_PROTEIN_MATURATION,proteostasis,RPN2,0.427466,0.483548,0.016813,0.024314,,15
MP10_PROTEIN_MATURATION,proteostasis,SPP1,0.189358,0.320598,0.011147,0.02367,,16
MP10_PROTEIN_MATURATION,proteostasis,PDIA4,0.38288,0.43589,0.015156,0.022747,,17
MP10_PROTEIN_MATURATION,proteostasis,SERPINA1,0.235771,0.332051,0.011545,0.022352,,18
MP10_PROTEIN_MATURATION,proteostasis,PRDX4,0.466907,0.598393,0.020806,0.022092,,19
MP10_PROTEIN_MATURATION,proteostasis,EPCAM,0.484478,0.61558,0.021404,0.020711,,20
MP10_PROTEIN_MATURATION,proteostasis,DDOST,0.459303,0.526705,0.018314,0.019679,,21
MP10_PROTEIN_MATURATION,proteostasis,PSAP,0.504614,0.648,0.022531,0.01877,,22
MP10_PROTEIN_MATURATION,proteostasis,GRN,0.406483,0.441511,0.015351,0.01815,,23
MP10_PROTEIN_MATURATION,proteostasis,NEAT1,0.486063,0.779446,0.027101,0.017707,,24
MP10_PROTEIN_MATURATION,proteostasis,APP,0.513158,0.699983,0.024338,0.017457,,25
MP10_PROTEIN_MATURATION,proteostasis,LAMP1,0.436937,0.474225,0.016489,0.016877,,26
MP10_PROTEIN_MATURATION,proteostasis,SLC3A2,0.399739,0.437514,0.015212,0.01605,,27
MP10_PROTEIN_MATURATION,proteostasis,LMAN2,0.409022,0.418546,0.014553,0.015463,,28
MP10_PROTEIN_MATURATION,proteostasis,AZGP1,0.526726,1.184207,0.041175,0.014367,,29
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP2,0.37521,0.378219,0.013151,0.014333,,30
MP10_PROTEIN_MATURATION,proteostasis,LAMP2,0.319582,0.302317,0.010512,0.014066,,31
MP10_PROTEIN_MATURATION,proteostasis,LRPAP1,0.304899,0.26772,0.009309,0.013794,,32
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP1,0.313362,0.281128,0.009775,0.013561,,33
MP10_PROTEIN_MATURATION,proteostasis,EPHX1,0.277105,0.265665,0.009237,0.013528,,34
MP10_PROTEIN_MATURATION,proteostasis,TM9SF2,0.352776,0.349037,0.012136,0.012857,,35
MP10_PROTEIN_MATURATION,proteostasis,MAGED2,0.36946,0.416887,0.014495,0.012739,,36
MP10_PROTEIN_MATURATION,proteostasis,APLP2,0.396462,0.420132,0.014608,0.012446,,37
MP10_PROTEIN_MATURATION,proteostasis,PIGT,0.309265,0.281913,0.009802,0.011187,,38
MP10_PROTEIN_MATURATION,proteostasis,CTSA,0.222068,0.181415,0.006308,0.010404,,39
MP10_PROTEIN_MATURATION,proteostasis,APMAP,0.27681,0.238086,0.008278,0.009943,,40
MP10_PROTEIN_MATURATION,proteostasis,GGH,0.2353,0.240579,0.008365,0.00929,,41
MP10_PROTEIN_MATURATION,proteostasis,CTSL,0.186913,0.159705,0.005553,0.008173,,42
MP10_PROTEIN_MATURATION,proteostasis,OS9,0.266372,0.228038,0.007929,0.007638,,43
MP10_PROTEIN_MATURATION,proteostasis,HEXB,0.233084,0.184351,0.00641,0.007411,,44
MP10_PROTEIN_MATURATION,proteostasis,SERPINE2,0.121224,0.116177,0.004039,0.006594,,45
MP10_PROTEIN_MATURATION,proteostasis,SIL1,0.166575,0.117949,0.004101,0.005226,,46
MP10_PROTEIN_MATURATION,proteostasis,GDF15,0.102336,0.128724,0.004476,0.002648,,47
MP10_PROTEIN_MATURATION,proteostasis,TSPAN1,0.078707,0.062867,0.002186,0.001966,,48
MP10_PROTEIN_MATURATION,proteostasis,CFI,0.014051,0.009053,0.000315,0.000555,,49
MP11_TRANSLATION_INITIATION,proteostasis,ZFAS1,0.565884,0.811776,0.066508,0.0536,,1
MP11_TRANSLATION_INITIATION,proteostasis,EIF3E,0.499093,0.630262,0.051637,0.048886,,2
MP11_TRANSLATION_INITIATION,proteostasis,RPL22L1,0.482731,0.615091,0.050394,0.046861,,3
MP11_TRANSLATION_INITIATION,proteostasis,EIF3F,0.501901,0.60879,0.049878,0.045849,,4
MP11_TRANSLATION_INITIATION,proteostasis,IMPDH2,0.390255,0.435462,0.035677,0.04558,,5
MP11_TRANSLATION_INITIATION,proteostasis,SNHG8,0.435513,0.563322,0.046153,0.045175,,6
MP11_TRANSLATION_INITIATION,proteostasis,RSL1D1,0.430757,0.470621,0.038558,0.041687,,7
MP11_TRANSLATION_INITIATION,proteostasis,TKT,0.428165,0.486227,0.039836,0.035841,,8
MP11_TRANSLATION_INITIATION,proteostasis,EIF4B,0.406013,0.450626,0.036919,0.035561,,9
MP11_TRANSLATION_INITIATION,proteostasis,EIF3D,0.381362,0.386272,0.031647,0.034252,,10
MP11_TRANSLATION_INITIATION,proteostasis,SNHG7,0.304523,0.321647,0.026352,0.033693,,11
MP11_TRANSLATION_INITIATION,proteostasis,AHCY,0.370589,0.371207,0.030413,0.033004,,12
MP11_TRANSLATION_INITIATION,proteostasis,EIF3M,0.389087,0.397991,0.032607,0.032627,,13
MP11_TRANSLATION_INITIATION,proteostasis,APEX1,0.407531,0.412826,0.033823,0.032413,,14
