# jaccard | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
MP2_CELL_CYCLE_G1_S,1.0,0.0795,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP3_CELL_CYCLE_HMG_RICH,0.0795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.092,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP4_CHROMATIN,0.0108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075
MP5_STRESS,0.0,0.0,0.0,1.0,0.0208,0.069,0.0,0.0105,0.0,0.0,0.0104,0.0102,0.0102,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0421,0.0538,0.0102,0.0316,0.0,0.0345,0.0
MP6_HYPOXIA,0.0,0.0,0.0,0.0208,1.0,0.0568,0.0206,0.0213,0.0103,0.0108,0.0319,0.0312,0.0312,0.0208,0.0,0.0312,0.0102,0.0208,0.0,0.0,0.0761,0.0208,0.0102,0.0316,0.0,0.0112,0.0
MP7_STRESS_IN_VITRO,0.0,0.0,0.0,0.069,0.0568,1.0,0.0217,0.0706,0.0333,0.0471,0.0,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0444,0.0,0.0,0.0109,0.0,0.0366,0.0
MP8_PROTEASOMAL_DEGRADATION,0.0,0.0,0.0,0.0,0.0206,0.0217,1.0,0.043,0.0421,0.0106,0.0,0.0,0.0101,0.0,0.0,0.0101,0.0101,0.0312,0.0104,0.0,0.0101,0.0102,0.0,0.0,0.0102,0.0,0.0
MP9_UNFOLDED_PROTEIN_RESPONSE,0.0,0.0,0.0,0.0105,0.0213,0.0706,0.043,1.0,0.1294,0.0,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0476,0.0353
MP10_PROTEIN_MATURATION,0.0,0.0,0.0,0.0,0.0103,0.0333,0.0421,0.1294,1.0,0.0,0.0104,0.0102,0.0,0.0208,0.0211,0.0206,0.0102,0.0,0.0,0.0319,0.0,0.0,0.0206,0.0103,0.0103,0.0112,0.0345
MP11_TRANSLATION_INITIATION,0.0,0.0111,0.0,0.0,0.0108,0.0471,0.0106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444,0.011,0.0,0.0215,0.0108,0.0,0.0,0.0108,0.0,0.0
MP12_EMT_1,0.0,0.0,0.0,0.0104,0.0319,0.0,0.0,0.0,0.0104,0.0,1.0,0.0889,0.0208,0.0899,0.0213,0.0769,0.0,0.0,0.0106,0.0,0.0889,0.0,0.0103,0.0543,0.0,0.0114,0.0
MP13_EMT_2,0.0,0.0,0.0,0.0102,0.0312,0.0,0.0,0.0,0.0102,0.0,0.0889,1.0,0.0989,0.0312,0.0,0.0309,0.0309,0.0,0.0104,0.0,0.0753,0.0312,0.0309,0.0421,0.0,0.0,0.0
MP14_EMT_3,0.0,0.0105,0.0,0.0102,0.0312,0.0,0.0101,0.0,0.0,0.0,0.0208,0.0989,1.0,0.0,0.0208,0.0638,0.0417,0.0,0.0104,0.0,0.087,0.0645,0.0526,0.0102,0.0206,0.0111,0.0
